feature,importance
age,0.17068158088297647
marital-status_Married,0.1377018170572243
works_hours,0.07857747788182541
marital-status_Never-married,0.06935832266752133
coffee_per_year,0.05614638826488425
salary,0.05009067243585459
tea_per_year,0.04754717534888086
sex_Female,0.03996532396104839
mins_beerdrinking_year,0.03661371564137574
education_rank_13,0.03137920448767276
sex_Male,0.03050385890380161
occupation_executive,0.029417475728787047
marital-status_Divorced,0.02818427984712073
occupation_professional,0.023342515889034264
education_rank_9,0.018522982538164545
